categoria,titulo,archivo original 
libro,El secreto de la belleza.pdf,https://drive.google.com/file/d/1YXNloXHVkhEmi8QbBgUwujAExixEhKFq/view?usp=drive_link
libro,Formar el corazón en esperanza.pdf,https://drive.google.com/file/d/1OyWp1ITIJRn645e8-n6ZIDOzLdIF1BiY/view?usp=drive_link
libro,Educar_es_difícil_posible_y_bello.pdf,https://drive.google.com/file/d/1HkQk6jh9Fm084dWSLEXa1RE7_CW8VxoT/view?usp=drive_link
libro,Bibliografía escritos de Diego.docx,https://docs.google.com/document/d/1DNINYlXD2FPcLEJB1oUJfKic9f1Sb_A5/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,El Arte de la Amistad (QUIJOTE ESP) (revisada),https://docs.google.com/document/d/1SPR8vi36eFnJIY-wEp8CoRBaA8iTzstG/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,Buscar y hallar la voluntad de Dios,https://drive.google.com/file/d/1hY_yGu7I90U6i0J-FWcoTNhzJXfLcFuo/view?usp=drive_link
libro,LA BIBLIA. Libro del Pueblo de Dios,https://drive.google.com/file/u/2/d/1NDEm68Fd-m-FyjphIE7t6KaGFkDyLRdi/view?usp=drive_open
libro,Obras completas de San Ignacio de Loyola,https://drive.google.com/file/d/1f_nNRi1WS6z5GE86kt2Cneeru8qUqSgF/view
libro,Carta Encíclica Dilexit nos (Papa Francisco),https://drive.google.com/file/d/1xKPAT5e3bvMBqmMiaYIWvccIm_GeQssH/view
libro,Carta Encíclica Fratelli Tutti (Papa Fracisco),https://drive.google.com/file/d/1LeeIzgVLCZu_0Pgc5pL64pHbO5icM4xs/view
libro,Carta Encíclica Laudato si (Papa Francisco),https://drive.google.com/file/d/1hfClk8xW3LNR8irK-Hue4SAPb9JF-w0Q/view
libro,Carta Encíclica Lumen Fidei (Papa Francisco),https://drive.google.com/file/d/16ph3Oa4XsV1wb6ulia9z7k6W2J2tElTK/view
libro,Aparecida 2007,https://drive.google.com/file/d/1gsM8vweJbmCYaPEhND9t5Bxj9bS0jBII/view
libro,Peregrinar con el corazon lleno de rostros,https://docs.google.com/document/d/12bbxOZh13kn2mBy5-lrYX-pIdEU30gms/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,Pequenios gestos con gran amor,https://docs.google.com/document/d/1cw9NL1MacZjJy6H58Ihmg_9eZWbeCcHX/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,Come goccia  su una spugna  Papa Francesco  maestro di discernimento,https://drive.google.com/file/d/1SKXFeorBj9a90pZ48cAZPWmXagEZVxJu/view?usp=drive_link
libro,El olor del pastor ,https://drive.google.com/file/d/1OYz-wDqxg-z3rySrZMi2YEBm1MTutPLV/view?usp=drive_link
libro,Apesebrar el corazón,https://drive.google.com/file/d/1RFLYQSmaSpYEOtaNkhHTBGLmHjaocCi8/view?usp=drive_link
libro,Papa Francesco è come un bambú All Radici della Coltura Dell´Incontro,https://drive.google.com/file/d/1YEw9YP1KxqU2uTNii_DyNbETlHMKyjW2/view?usp=drive_link
libro,PEREGRINAR CON EL CORAZÓN LLENO DE ROSTROS,https://drive.google.com/file/d/18VUvovD4y4nqMcgm5q8owVAf2Oh1Zu11/view?usp=drive_link
libro,PEQUEÑOS GESTOS CON GRAN AMOR,https://drive.google.com/file/d/1PAxL1EKU1GoixgYnJaijDK47mZk1fnzz/view?usp=drive_link
libro,San Jose la ternura de un padre,https://drive.google.com/file/d/1BRiuQI8_QTZOO_NFAJ9v3ErC2FB9dFfw/view?usp=drive_link
libro,The Heart of Pope Francis How a New Culture of Encounter is Changing the Church and thevworld,https://drive.google.com/file/d/1KA2T_j1_UT7qn3ST1LXRkwVWsaQsrjUa/view?usp=drive_link
libro,La Cultura del Encuentro,https://drive.google.com/file/d/12Lv7s3UUYGZbuwYDNW1aQylGcdQkiRYX/view?usp=drive_link
