tipo,titulo,enlace
revista,Fenomenología de la verdad en H.U. von Balthasar (1),https://drive.google.com/file/d/1PqKCN669UGQaps44cri1f03Im33v8xGz/view
revista,Fenomenología de la verdad en H.U. von Balthasar (2),https://drive.google.com/file/d/1Cuam2YlFwtmZRAe46o-ftMWRHtr1fcDA/view
revista,Fenomenología de la verdad en H.U. von Balthasar (3),https://drive.google.com/file/d/1XqJz8Rr8pjBKHCG1gpvwed7GGAmZZob4/view
revista,Fenomenología de la verdad en H.U. von Balthasar (4),https://drive.google.com/file/d/1-6atRr8vnDzLEDKHZ_AUPgjfL9bnzEmZ/view
revista,La configuración de la verdad en H.U. von Balthasar,https://drive.google.com/file/d/1TlPUh5bmRU4V2z4FxPhvFXE0OVQ65WCj/view
revista,El testamento espiritual de H.U. von Balthasar,https://drive.google.com/file/d/11n9Er2Gv_OjUtI9ZxKNx6TuqMlDrBvDr/view
revista,El corazón de Ignacio,https://drive.google.com/file/d/1lIUsCZw9_Vp1Szbl5rhR1YWEjQAtOm_-/view
revista,L'ANTROPOLOGIA POLITICA DI PAPA FRANCESCO,https://drive.google.com/file/d/1Q4AlRC-o_6zSoF80HE-eyQXyXDUloGCK/view
revista,GLI OCCHI DELLA FEDE,https://drive.google.com/file/d/1gAPoiy6yjXoy_zg0sVuTaVsznE35vuc1/view
revista,LA FIGURA DEL VESCOVO IN PAPA FRANCESCO,https://drive.google.com/file/d/1I_wxoXLPhokCWsUXcEykzmQL8Ochedh_/view
revista,POVERTÀ E FRAGILITÀ DEL PIANETA,https://drive.google.com/file/d/14SuPXMmwmg2mSRMUQOssZkeei4EkMzeK/view
revista,I SANTI EVANGELIZZATORI DI POPOLI,https://drive.google.com/file/d/16br16rcLCauAJ-DvndZ_Y9Y9hHQWYkw4/view
revista,PAPA FRANCESCO E LA POLITICA,https://drive.google.com/file/d/1fLPVIo1XVIENMz19XG3-tqP8SKUVU-XG/view
revista,AMORIS LAETITIA E IL RINNOVAMENTO DEL LINGUAGGIO ECCLESIALE,https://drive.google.com/file/d/1MWk5anN-t3_rwcvQHiBWfrB3KRmOL2Q-/view
revista,LA PEDAGOGIA DI PAPA FRANCESCO,https://drive.google.com/file/d/1l7CLkvDQ1MCeNC_Kpn9rgFziYn0PFS4o/view
revista,Gli Esercizi spirituali di Papa Francesco ai sacerdoti,https://drive.google.com/file/d/1dDsnuuK-49AgrzJQatGYz84i7DFHy8oH/view
revista,MARÍA ANTONIA DE PAZ Y FIGUEROA Una beata gesuita,https://drive.google.com/file/d/149v7eEq-PRVPvp6q7uKq3k9CXo-d3cdM/view
revista,SAN JOSÉ GABRIEL BROCHERO,https://drive.google.com/file/d/1qKU648oiDXuZlMFjj9ZwaqioIeNAHgQN/view
revista,AIUTI PER CRESCERE NELLA CAPACITÀ DI DISCERNERE,https://drive.google.com/file/d/1BzjxQbPSwTexu02ZYHsXCyo0HJrkBolW/view
