categoria,titulo,archivo original 
video,Homenaje a Diego Fares,https://youtu.be/cORPrnrQh_0?si=UVrXI1kro6Ata7e2
video,Adviento Tiempo de Esperanza,https://youtu.be/-RQaS_ECeTg?si=HVWIx5k9Yh8yYhnX
video,La exhortación a la santidad del Papa Francisco: “Protocolo para el combate espiritual”.,https://www.youtube.com/watch?v=WK4AZNPrTIQ&t=17s
video,"""Repensar la cuestión social desde la mirada pastoral de Francisco”.",https://www.youtube.com/watch?v=AnjpXckyMOA
video,Hablemos de Dignidad (2011),https://www.youtube.com/watch?v=2Tywm48ydaM
video,"Manos Abiertas, Casa Común.",https://www.youtube.com/watch?v=_HCRqMabSTM&t=377s
video,Lisboa marzo 2018 “La importancia del discernimiento en la vida cristiana”,https://youtu.be/LVvnYNELTL0?si=MZItZPY1sKmXV8ix
video,“El Papa Francisco y el discernimiento”,https://youtu.be/_KONkwO9MKA?si=2XkIBUXKwBaK0FUY
video,Tema:“El discernimiento espiritual en el magisterio del Papa Francisco” (en ITALIANO),https://youtu.be/L0k_bjtlqv4?si=sgrWVrPawX5n_YnJ
video,La Cultura del Encuentro en el Pensamiento del Papa Francisco Parte 1 ,https://youtu.be/9-fC4sWQ_JY?si=WMfCXtrn5lQeKY8s 
video,La Cultura del Encuentro en el Pensamiento del Papa Francisco Parte 2,https://youtu.be/pJD483lnmbE?si=LNs8VAoe5TzAR9ML 
video,La Cultura del Encuentro en el Pensamiento del Papa Francisco Parte 3,https://youtu.be/-i52ZxLrXiQ?si=tkLJY19IgnycGmRn
video,Diego Fares con el grupo de Matrimonios,https://youtu.be/xeJcqIIxYsk?si=BPHvTVtzEsDnGZBc
video,Homenaje a Fares de los Familiares y Amigos Víctimas Tragedia Once,https://youtu.be/d8e2gi_6nCw?si=jnSNDuyG1brX121U
